municipality,year,name,position,remuneration,expenses,benefits
Campbell River,2023,Kermit Dahl,Mayor,80176,9393,0
Campbell River,2023,Douglas Chapman,Councillor,30467,8874,
Campbell River,2023,Tanille Johnston,Councillor,30467,11776,
Campbell River,2023,Ron Kerr,Councillor,30467,4790,
Campbell River,2023,Ben Lanyon,Councillor,30467,5948,
Campbell River,2023,Susan Sinnott,Councillor,30467,7671,
Campbell River,2023,Sean Smyth,Councillor,30467,8137,
Mission,2023,P. Horn,Mayor,96227,6809,
Mission,2023,C. Hamilton,Councillor,48114,3491,
Mission,2023,D. Plecas,Councillor,48114,3053,
Mission,2023,M. Davies,Councillor,48114,3198,
Mission,2023,J. Gill,Councillor,48114,4526,
Mission,2023,K. Herar,Councillor,48114,3825,
Mission,2023,A. Elias,Councillor,48114,4229,
Squamish,2023,Armand Hurford,Mayor,97558,11503,9804
Squamish,2023,Eric Andersen,Councillor,44057,6476,5190
Squamish,2023,John French,Councillor,44057,4380,7064
Squamish,2023,Lauren Greenlaw,Councillor,44057,6368,6767
Squamish,2023,Andrew Hamilton,Councillor,44057,5156,7064
Squamish,2023,Chris Pettingill,Councillor,44057,6002,7064
Squamish,2023,Jenna Stoner,Councillor,44057,4541,7064
Terrace,2023,Sean Bujtas,Mayor,45817,16012,
Terrace,2023,Christopher Apps,Councillor,21491,8321,
Terrace,2023,James Cordeiro,Councillor,21491,5621,
Terrace,2023,Inder Dhillon,Councillor,21491,5538,
Terrace,2023,Brian Downie,Councillor,21491,12274,
Terrace,2023,David Gordon,Councillor,21491,5266,
Terrace,2023,Sarah Zimmerman,Councillor,21491,11007,
Comox,2023,Nicole Minions,Mayor,58275,9323,
Comox,2023,Steve Blacklock,Councillor,26371,6527,
Comox,2023,Ken Grant,Councillor,26371,13630,
Comox,2023,Chris Haslett,Councillor,26371,4661,
Comox,2023,Jonathan Kerr,Councillor,26371,5160,
Comox,2023,Jenn Meilleur,Councillor,26371,4194,
Comox,2023,Maureen Swift,Councillor,26371,0,
Esquimalt,2023,Desjardins Barbara,Mayor,65684,3742,
Esquimalt,2023,Armour Kenneth,Councillor,29838,0,
Esquimalt,2023,Boardman Andrea,Councillor,29838,5462,
Esquimalt,2023,Cavens Duncan,Councillor,29838,7519,
Esquimalt,2023,Helliwell Jacob,Councillor,29838,3647,
Esquimalt,2023,Morrison Timothy,Councillor,29838,8802,
Esquimalt,2023,Rotchford Darlene,Councillor,29838,2320,
Pitt Meadows,2023,MACDONALD NICOLE,Mayor,111432,153,153
Pitt Meadows,2023,ELKE TRACY,Councillor,44578,6677,1955
Pitt Meadows,2023,EVANS ALISON,Councillor,44578,7943,1955
Pitt Meadows,2023,HAYES MIKE,Councillor,44578,8662,1908
Pitt Meadows,2023,MANION MICHAEL,Councillor,44578,8004,1908
Pitt Meadows,2023,MEACHEN BOB,Councillor,44578,3384,1908
Pitt Meadows,2023,O'CONNELL GWEN,Councillor,44578,5771,1908
Richmond,2023,Brodie Malcolm,Mayor,198437,11142,26797
Richmond,2023,Au Chak,Councillor,79163,11856,13754
Richmond,2023,Day Carol,Councillor,89974,124,16481
Richmond,2023,Gillanders Laura,Councillor,89974,6955,16761
Richmond,2023,Heed Kash,Councillor,89974,0,17439
Richmond,2023,Hobbs Andrew,Councillor,89974,1781,16691
Richmond,2023,Loo Alexa,Councillor,89974,3375,16691
Richmond,2023,McNulty William,Councillor,89974,10991,16380
Richmond,2023,Wolfe Michael,Councillor,89974,1016,15639
Sechelt,2023,Henderson John,Mayor,50000,6204,
Sechelt,2023,Bell Donna,Councillor,25000,7118,
Sechelt,2023,Inkster Darren,Councillor,26702,7372,
Sechelt,2023,McLauchlan Dianne,Councillor,25000,6611,
Sechelt,2023,Rowe Brenda,Councillor,29343,6514,
Sechelt,2023,Shepherd Adam,Councillor,25000,6894,
Sechelt,2023,Toth Alton,Councillor,25000,6261,
View Royal,2023,Tobias Sid,Mayor,47797,2833,
View Royal,2023,Brown Donald,Councillor,23899,538,
View Royal,2023,Kowalewich Damian,Councillor,23899,372,
View Royal,2023,Lemon Margaret,Councillor,23899,446,
View Royal,2023,MacKenzie Alison,Councillor,23899,475,
View Royal,2023,Mattson Ron,Councillor,23899,347,
View Royal,2023,Rogers John,Councillor,23899,485,
